[2026-09-24 | 20:44:56] INFO     [scrapers.streamcenter] URL 14) Captured M3U8                                                  (streamcenter.py:61)
[2026-09-24 | 20:44:56] INFO     [scrapers.tvf90] URL 23) Captured M3U8                                                  (tvf90.py:58)
[2026-09-24 | 20:44:57] INFO     [scrapers.streamcenter] URL 15) Captured M3U8                                                  (streamcenter.py:61)
[2026-09-24 | 20:44:57] INFO     [scrapers.tvf90] URL 24) Captured M3U8                                                  (tvf90.py:58)
[2026-09-24 | 20:44:57] INFO     [scrapers.tvf90] URL 25) Captured M3U8                                                  (tvf90.py:58)
[2026-09-24 | 20:44:57] INFO     [scrapers.streamcenter] URL 16) Captured M3U8                                                  (streamcenter.py:61)
[2026-09-24 | 20:44:57] INFO     [scrapers.watchfooty] URL 1) Captured M3U8                                                   (webwork.py:307)
[2026-09-24 | 20:44:57] INFO     [scrapers.tvf90] URL 26) Captured M3U8                                                  (tvf90.py:58)
[2026-09-24 | 20:44:58] INFO     [scrapers.streamcenter] URL 17) Captured M3U8                                                  (streamcenter.py:61)
[2026-09-24 | 20:44:58] INFO     [scrapers.tvf90] URL 27) Captured M3U8                                                  (tvf90.py:58)
[2026-09-24 | 20:44:58] INFO     [scrapers.webcast] URL 13) Captured M3U8                                                  (webcast.py:94)
[2026-09-24 | 20:44:58] INFO     [scrapers.tvf90] URL 28) Captured M3U8                                                  (tvf90.py:58)
[2026-09-24 | 20:44:58] INFO     [scrapers.streamcenter] URL 18) Captured M3U8                                                  (streamcenter.py:61)
[2026-09-24 | 20:44:58] INFO     [scrapers.tvf90] URL 29) Captured M3U8                                                  (tvf90.py:58)
[2026-09-24 | 20:44:59] INFO     [scrapers.streamcenter] URL 19) Captured M3U8                                                  (streamcenter.py:61)
[2026-09-24 | 20:44:59] INFO     [scrapers.tvf90] URL 30) Captured M3U8                                                  (tvf90.py:58)
[2026-09-24 | 20:44:59] INFO     [scrapers.tvf90] URL 31) Captured M3U8                                                  (tvf90.py:58)
[2026-09-24 | 20:44:59] INFO     [scrapers.streamcenter] URL 20) Captured M3U8                                                  (streamcenter.py:61)
[2026-09-24 | 20:45:00] INFO     [scrapers.tvf90] URL 32) Captured M3U8                                                  (tvf90.py:58)
[2026-09-24 | 20:45:00] INFO     [scrapers.webcast] URL 14) Captured M3U8                                                  (webcast.py:94)
[2026-09-24 | 20:45:00] INFO     [scrapers.streamcenter] URL 21) Captured M3U8                                                  (streamcenter.py:61)
[2026-09-24 | 20:45:00] INFO     [scrapers.tvf90] URL 33) Captured M3U8                                                  (tvf90.py:58)
[2026-09-24 | 20:45:00] INFO     [scrapers.tvf90] URL 34) Captured M3U8                                                  (tvf90.py:58)
[2026-09-24 | 20:45:00] INFO     [scrapers.streamcenter] URL 22) Captured M3U8                                                  (streamcenter.py:61)
